Date,Total-Cumulative-Cases,ObjectId,New-Cases,PCR,Recovered,Deaths,Daily-Positive-%age,Country,RDT,Local Transmissions,Imported Cases,GlobalID,Cum-Deaths,Cum-Recovery,CFR%
11/30/2020 12:00:00 AM,,97,,,,,,,,,,d59197ed-b89d-484b-9ec2-734cf5bf6b45,,,
8/18/2020 12:00:00 AM,5378,98,70,1229,257,6,5.69568755085435,,,67,3,f27eba5a-458c-4413-9dde-80858ac2e2c3,141,4105,
8/19/2020 12:00:00 AM,5643,99,265,1618,337,9,16.3782447466007,,,254,11,7a88715e-eaf9-43ad-a1e4-d45e4a02db78,150,4442,
12/1/2020 12:00:00 AM,,100,,,,,,,,,,08764564-3ce2-4314-af9d-b6d66a853a0d,,,
12/2/2020 12:00:00 AM,,101,,,,,,,,,,c730ee05-b825-4279-822e-74aa5d0e7204,,,
8/20/2020 12:00:00 AM,5745,102,102,1256,83,1,8.12101910828025,,,102,0,356184a8-5b11-4463-a5d5-eaca272a7be5,151,4525,
8/21/2020 12:00:00 AM,5815,103,70,1810,62,1,3.86740331491713,,,70,0,a14606f8-5547-4334-870f-d3f62d494728,152,4587,
5/10/2020 12:00:00 AM,36,104,,,,,,,,,,54c956a9-bf81-4619-9dc2-8af150d4743b,4,9,
5/11/2020 12:00:00 AM,37,105,,,,,,,,,,595a8762-d936-4fed-a8ff-19d6915b882f,4,12,
5/12/2020 12:00:00 AM,37,106,,,,,,,,,,2dd920c2-5805-479c-b504-c3178b2a610b,4,12,
5/13/2020 12:00:00 AM,37,107,,,,,,,,,,8ecf7775-a9d9-44d7-8705-22427eafac88,4,13,
5/14/2020 12:00:00 AM,38,108,,,,,,,,,,ae2d372c-4e31-4892-b844-43269a241a00,4,13,
5/15/2020 12:00:00 AM,42,109,,,,,,,,,,0ddeedd3-c0b6-439d-aa93-359244276b94,4,13,
5/16/2020 12:00:00 AM,44,110,,,,,,,,,,53de31f4-3b39-4f78-b41d-a6518f4fcdf0,4,17,
5/17/2020 12:00:00 AM,46,111,,,,,,,,,,ee6d2e7f-7133-44b5-8e0b-a11d7b1ebc81,4,18,
5/18/2020 12:00:00 AM,46,112,,,,,,,,,,387174ff-19b1-4482-992f-703198018a26,4,18,
5/19/2020 12:00:00 AM,46,113,,,,,,,,,,017569e8-fdff-43f7-bd23-3116667336af,4,18,
5/20/2020 12:00:00 AM,48,114,,,,,,,,,,1e0e30c7-8e2e-4a35-b3fa-6dd4aaeeee86,4,18,
5/21/2020 12:00:00 AM,51,115,,,,,,,,,,b1ab885f-75db-454c-b746-5396a4d8b232,4,18,
5/22/2020 12:00:00 AM,56,116,,,,,,,,,,e7c516e3-77a0-44d3-a375-f69f454c5ee8,4,18,
5/23/2020 12:00:00 AM,79,117,,,,,,,,,,446faf36-5c45-4313-9a3e-71aeafb7ca6b,4,23,
5/24/2020 12:00:00 AM,79,118,,,,,,,,,,0bc631af-7258-45fc-a3d2-77aaca16b67f,4,25,
5/25/2020 12:00:00 AM,79,119,,,,,,,,,,7fe1a575-256d-453f-b594-9cc28e5dd42e,4,25,
5/26/2020 12:00:00 AM,79,120,,,,,,,,,,05874773-77a0-4479-ab06-5ea835d55993,4,25,
5/27/2020 12:00:00 AM,132,121,,,,,,,,,,65db2da9-0a29-4ea1-ab54-2f67e149c5db,4,25,
5/28/2020 12:00:00 AM,149,122,,,,,,,,,,5c7d12aa-9587-4504-b34c-b291fd9e2e97,4,28,
5/29/2020 12:00:00 AM,160,123,,,,,,,,,,33ed13d1-b1e3-409c-be6e-5d921f3b607a,4,29,
5/30/2020 12:00:00 AM,174,124,,,,,,,,,,8d1785bd-389f-46a2-94c7-7fa72d99c847,4,29,
5/31/2020 12:00:00 AM,178,125,,,,,,,,,,7084331b-0d18-4c87-8466-aa0b762b2a72,4,29,
6/1/2020 12:00:00 AM,203,126,,,,,,,,,,0790c3bc-eec3-4c3c-985a-497ee1b6f121,4,29,
6/2/2020 12:00:00 AM,206,127,,,,,,,,,,b323fee4-1799-4320-9737-2c1e610548bf,4,29,
6/3/2020 12:00:00 AM,222,128,,,,,,,,,,3c4a5d23-b724-49a7-82d6-337e4d5ce7ac,4,29,
6/4/2020 12:00:00 AM,234,129,,,,,,,,,,38992705-13c5-480c-9b3d-93bef93942ce,4,31,
6/5/2020 12:00:00 AM,265,130,,,,,,,,,,1aca4352-191c-4898-9182-caacd106fa5c,4,33,
6/6/2020 12:00:00 AM,274,131,,,,,,,,,,36ad656e-c257-4349-86b8-fad858929180,4,33,
6/7/2020 12:00:00 AM,283,132,,,,,,,,,,e0ee6e62-4a3a-4ffc-b207-b03cb83cb1fa,4,34,
6/8/2020 12:00:00 AM,287,133,,,,,,,,,,e513cc39-20c8-4244-92f6-f9ee5805b5f4,4,46,
6/9/2020 12:00:00 AM,314,134,,,,,,,,,,3c8930c8-0178-4e33-96f9-f7a6b77eefe8,4,46,
6/10/2020 12:00:00 AM,326,135,,,,,,,,,,bf0220f9-e135-4a5a-89aa-924951c4ca3d,4,49,
6/11/2020 12:00:00 AM,335,136,,,,,,,,,,3f6d2ed4-7888-4f61-ad07-cedaf624f828,4,51,
6/12/2020 12:00:00 AM,345,137,,,,,,,,,,fd44be00-ede4-4e4b-80f5-7636c367ed8f,4,51,
6/13/2020 12:00:00 AM,351,138,,,,,,,,,,74e80b4c-2b1a-4ebf-99f9-83d72681f806,4,54,
6/14/2020 12:00:00 AM,382,139,,,,,,,,,,97dc0fb1-2fdf-483d-a597-0252e3fbcc0b,4,54,
6/15/2020 12:00:00 AM,386,140,,,,,,,,,,68b04cf5-b92d-4834-8590-347f3e247d55,4,54,
6/16/2020 12:00:00 AM,391,141,,,,,,,,,,2c280197-7c79-40bc-bffb-212a87d5681b,4,62,
6/17/2020 12:00:00 AM,401,142,,,,,,,,,,8e6a249e-2b5b-4e60-a437-b8ae655c225f,4,63,
6/18/2020 12:00:00 AM,463,143,,,,,,,,,,b5f0b21c-72f1-45b2-a15a-07e042d10676,4,63,
6/19/2020 12:00:00 AM,479,144,,,,,,,,,,74c4007a-cbea-4570-8fdd-cf7b20602d61,4,63,
6/20/2020 12:00:00 AM,486,145,,,,,,,,,,5cc7565e-809c-4e68-92ec-488168413501,4,64,
6/21/2020 12:00:00 AM,489,146,,,,,,,,,,e7f9f43e-1d1f-4334-904e-8ae10de405b0,4,64,
6/22/2020 12:00:00 AM,512,147,,,,,,,,,,c5faccd5-b29f-4d3f-bb18-bc784e3927c1,4,64,
6/23/2020 12:00:00 AM,525,148,,,,,,,,,,068d0799-15cc-4038-99ed-e74eb148bd27,4,64,
6/24/2020 12:00:00 AM,530,149,,,,,,,,,,ce6f857a-5298-499c-a07f-6ae23d0645ed,6,123,
6/25/2020 12:00:00 AM,551,150,,,,,,,,,,35b30ce6-8adb-480a-95d3-c44148171b3b,6,128,
6/26/2020 12:00:00 AM,559,151,,,,,,,,,,d477e0fe-f8e4-4f78-acb2-662342bed2ef,6,135,
6/27/2020 12:00:00 AM,564,152,,,,,,,,,,e453233d-064e-4198-8dd2-a5b03b082f7c,6,142,
6/28/2020 12:00:00 AM,564,153,,,,,,,,,,2e1e6c8f-d0ae-4711-81b3-140a09b0cb80,6,142,
6/29/2020 12:00:00 AM,574,154,,,,,,,,,,0a26e3b3-0c4d-4311-abe9-6fa399ee8f04,7,152,
6/30/2020 12:00:00 AM,583,155,,,,,,,,,,6e12f9f1-e884-458e-960a-950f630acbdb,7,162,
3/19/2020 12:00:00 AM,0,156,,34711,,,,,,,,2f63bc97-7744-4218-9a84-6cf7c9a9e224,0,0,
3/20/2020 12:00:00 AM,1,157,,,,,,,,,,f030e7ce-138f-48d4-9857-78f33c8f6ef5,0,0,
3/21/2020 12:00:00 AM,2,158,,,,,,,,,,830f5190-95e3-452e-878b-c4b633d58282,0,0,
3/22/2020 12:00:00 AM,2,159,,,,,,,,,,b50e0003-6262-4d4d-ae56-2abff4f9c7ef,0,0,
3/23/2020 12:00:00 AM,2,160,,,,,,,,,,c032b215-c39c-4915-85a6-845fa4bbacb1,1,0,
3/24/2020 12:00:00 AM,3,161,,,,,,,,,,9d09c21b-fff1-4ec1-a98f-acd630defe0a,1,0,
3/25/2020 12:00:00 AM,3,162,,,,,,,,,,ebee4058-ff3e-44f6-bc81-8843ba4beba3,1,0,
3/26/2020 12:00:00 AM,5,163,,,,,,,,,,c33ce6c3-40b6-4811-bd1b-311a6b6f4c77,1,0,
3/27/2020 12:00:00 AM,7,164,,,,,,,,,,a47d3eaf-b05c-4ba2-b449-6e0b48f78e65,1,0,
3/28/2020 12:00:00 AM,7,165,,,,,,,,,,5044b6cf-cd71-49c5-b1f5-5c4bbf425101,1,0,
3/29/2020 12:00:00 AM,7,166,,,,,,,,,,7142bea0-8a15-438d-a290-b5470a58adf6,1,0,
3/30/2020 12:00:00 AM,8,167,,,,,,,,,,011da837-2ca1-4cf5-b82e-e2b8b89b5f35,1,0,
3/31/2020 12:00:00 AM,8,168,,,,,,,,,,ff6a60ea-4655-4c62-82a7-c994dfee256e,1,0,
4/1/2020 12:00:00 AM,9,169,,,,,,,,,,4b22ce04-a93a-48e2-8e74-dfbc5d158928,1,0,
4/2/2020 12:00:00 AM,9,170,,,,,,,,,,17a1c6ad-06a1-480b-a2af-c170d0210f25,1,0,
4/3/2020 12:00:00 AM,9,171,,,,,,,,,,b1b1f0ad-63a7-405f-b643-b397096bb5fa,1,0,
4/4/2020 12:00:00 AM,9,172,,,,,,,,,,93a041af-7bfb-4688-9045-98afcbd0fd8f,1,0,
4/5/2020 12:00:00 AM,10,173,,,,,,,,,,fe11f96d-9383-42a2-898c-81f7656b01c0,1,0,
4/6/2020 12:00:00 AM,10,174,,,,,,,,,,805816df-3e04-4f54-b042-210b3bbc3831,1,0,
4/7/2020 12:00:00 AM,10,175,,,,,,,,,,dbe94e1b-dc19-4319-9fef-113bf122d28b,2,0,
4/8/2020 12:00:00 AM,10,176,,,,,,,,,,c2156ca1-8200-42f6-b5ad-47b7cce6025e,3,0,
4/9/2020 12:00:00 AM,12,177,,,,,,,,,,fc3e4215-f08b-4fdb-b820-674503ec1d75,3,0,
4/10/2020 12:00:00 AM,13,178,,,,,,,,,,ad3b2c05-f470-41bd-86e6-c77032da1fe6,3,0,
4/11/2020 12:00:00 AM,13,179,,,,,,,,,,135c3ae7-6635-4e4b-ad17-2019a1433b18,3,0,
4/12/2020 12:00:00 AM,13,180,,,,,,,,,,53896b06-4d6a-4ccf-b5b3-e0f269e32002,3,0,
4/13/2020 12:00:00 AM,16,181,,,,,,,,,,b295652a-4fb4-4f79-bca0-3f8fdfd31e42,3,0,
4/14/2020 12:00:00 AM,22,182,,,,,,,,,,2b5d9dd3-931a-49e8-85f3-4a15b750fdfe,3,0,
4/15/2020 12:00:00 AM,23,183,,,,,,,,,,e7da0eab-0a9d-4b28-bc09-18746c91681d,3,1,
