,objectid,globalid,reportDate,newRecordsInfo,pcr_newBulawayo,pcr_newHarare,pcr_newManicaland,pcr_newMashCentral,pcr_newMashEast,pcr_newMashWest,pcr_newMidlands,pcr_newMasvingo,pcr_newMatNorth,pcr_newMatSouth,case_newBulawayo,case_newHarare,case_newManicaland,case_newMashCentral,case_newMashEast,case_newMashWest,case_newMidlands,case_newMasvingo,case_newMatNorth,case_newMatSouth,recov_newBulawayo,recov_newHarare,recov_newManicaland,recov_newMashCentral,recov_newMashEast,recov_newMashWest,recov_newMidlands,recov_newMasvingo,recov_newMatNorth,recov_newMatSouth,death_newBulawayo,death_newHarare,death_newManicaland,death_newMashCentral,death_newMashEast,death_newMashWest,death_newMidlands,death_newMasvingo,death_newMatNorth,death_newMatSouth,totalHelpInfo,case_totalBulawayo,case_totalHarare,case_totalManicaland,case_totalMashCentral,case_totalMashEast,case_totalMashWest,case_totalMidlands,case_totalMasvingo,case_totalMatNorth,case_totalMatSouth,recov_totalBulawayo,recov_totalHarare,recov_totalManicaland,recov_totalMashCentral,recov_totalMashEast,recov_totalMashWest,recov_totalMidlands,recov_totalMasvingo,recov_totalMatNorth,recov_totalMatSouth,active_totalBulawayo,active_totalHarare,active_totalManicaland,active_totalMashCentral,active_totalMashEast,active_totalMashWest,active_totalMidlands,active_totalMasvingo,active_totalMatNorth,active_totalMatSouth,death_totalBulawayo,death_totalHarare,death_totalManicaland,death_totalMashCentral,death_totalMashEast,death_totalMashWest,death_totalMidlands,death_totalMasvingo,death_totalMatNorth,death_totalMatSouth,reportStatus,didNotReport,CreationDate,Creator,EditDate,Editor,SHAPE
0,1,ce081cec-17f2-47e8-857c-a6d90451db4d,2021-07-10 10:00:00,,1089,2197,248,635,1198,1532,1062,649,697,936,160,326,110,141,191,584,60,66,91,58,60,91,5,63,40,38,0,98,164,0,4,8,0,1,4,19,3,0,3,0,,8124,16803,6131,4047,5447,9163,5079,4945,2750,4364,6272,13158,4006,2222,2790,4656,2862,3413,1792,3409,1539,2884,1900,1715,2521,4246,2056,1447,928,911,313,761,225,110,136,261,161,85,30,44,yes,,2021-07-11 01:03:56.861999989,surveyor_jr,2021-07-11 01:03:56.861999989,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
1,2,1df95b22-1d2b-4e8b-8a1e-37f5a93c209c,2021-07-11 10:00:00,,222,1534,386,406,428,520,308,240,199,262,112,158,65,62,103,230,34,64,41,43,57,37,12,66,193,462,0,0,0,210,16,14,3,4,1,8,4,0,3,6,,8236,16961,6196,4109,5550,9393,5113,5009,2791,4407,6329,13195,4018,2288,2983,5118,2862,3413,1792,3619,1578,2991,1950,1707,2430,4006,2086,1511,966,738,329,774,228,114,137,269,165,85,33,50,no,Masvingo,2021-07-11 21:41:05.539999962,surveyor_jr,2021-07-11 21:41:05.539999962,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
2,3,8c00c209-021e-4403-893e-a80e236eb350,2021-07-12 10:00:00,,414,2717,212,193,661,885,661,706,290,298,219,330,297,242,338,329,210,320,216,160,86,77,40,68,0,852,0,0,50,142,11,9,1,1,1,13,9,2,0,4,,8455,17291,6493,4351,5888,9722,5323,5329,3007,4567,6415,13272,4058,2356,2983,5970,2862,3413,1842,3761,1700,3235,2206,1880,2767,3470,2287,1829,1132,752,340,784,229,115,138,282,174,87,33,54,no,Masvingo,2021-07-12 20:47:16.255000114,surveyor_jr,2021-07-12 20:47:16.255000114,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
3,4,a99bca48-106b-4984-89e2-ed804c594a4b,2021-07-13 10:00:00,,303,5526,369,1027,781,1537,842,790,1317,1319,119,468,336,206,377,496,166,280,246,151,142,223,0,128,40,535,0,0,32,70,6,2,1,7,2,4,9,0,0,7,,8574,17759,6829,4557,6265,10218,5489,5609,3253,4718,6557,13495,4058,2484,3023,6505,2862,3413,1874,3831,1671,3478,2541,1951,3102,3427,2444,2109,1346,826,346,786,230,122,140,286,183,87,33,61,no,"Midlands,MatNorth",2021-07-13 21:13:14.213999987,surveyor_jr,2021-07-13 21:13:14.213999987,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
4,5,0c47dbf0-ee7f-49d9-8d47-465e71cc60a5,2021-07-14 10:00:00,,1197,3721,1585,405,1501,1989,604,620,138,844,358,422,310,285,393,437,190,255,165,295,96,266,0,107,276,0,0,94,50,62,20,5,2,3,4,3,9,5,2,5,,8932,18181,7139,4842,6658,10655,5679,5864,3418,5013,6653,13761,4058,2591,3299,6505,2862,3507,1924,3893,1913,3629,2849,2126,3215,3861,2625,2265,1459,1054,366,791,232,125,144,289,192,92,35,66,no,"Midlands,Masvingo,MatNorth",2021-07-14 22:39:03.479000092,surveyor_jr,2021-07-14 22:39:03.479000092,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
5,6,e65e59fa-c8ca-4dc6-8ebb-bf00c7468f42,2021-07-15 10:00:00,,988,6351,2418,1433,786,2815,1154,1081,1686,1919,177,457,262,322,344,423,91,91,190,134,109,244,0,119,4,21,0,0,6,218,14,27,11,7,15,5,4,0,0,3,,9109,18638,7401,5164,7002,11078,5770,5955,3608,5147,6762,14005,4058,2710,3303,6526,2862,3507,1930,4111,1967,3815,3100,2322,3540,4258,2712,2356,1643,967,380,818,243,132,159,294,196,92,35,69,yes,,2021-07-15 21:28:30.043999910,surveyor_jr,2021-07-15 21:28:30.043999910,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
6,7,b5dea8fa-17f7-4175-808e-f9b9c8810c6b,2021-07-16 10:00:00,,428,3706,883,387,1392,2133,527,476,1029,686,138,438,304,176,204,337,129,191,169,210,90,43,50,134,229,218,0,448,55,98,6,49,9,4,9,7,8,4,3,3,,9247,19076,7705,5340,7206,11415,5899,6146,3777,5357,6852,14048,4108,2844,3532,6744,2862,3955,1985,4209,2009,4161,3345,2360,3506,4370,2833,2095,1754,1076,386,867,252,136,168,301,204,96,38,72,yes,,2021-07-16 22:05:34.555000067,surveyor_jr,2021-07-16 22:05:34.555000067,surveyor_jr,"{'x': 29.8382637, 'y': -19.5175104, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
7,8,e278ab5e-17f4-44c7-87e6-171bbf3006e9,2021-07-17 10:00:00,,420,2032,744,487,1200,2547,779,356,1003,1000,150,107,142,90,247,339,79,79,70,142,41,120,0,35,0,518,0,0,40,30,3,18,4,0,8,14,11,1,3,6,,9397,19183,7847,5430,7453,11754,5978,6225,3847,5499,6893,14168,4108,2879,3532,7262,2862,3955,2025,4239,2115,4130,3483,2415,3745,4177,2901,2173,1781,1182,389,885,256,136,176,315,215,97,41,78,yes,,2021-07-17 21:02:55.072000027,surveyor_jr,2021-07-17 21:02:55.072000027,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
8,9,4ecccd93-44cd-493e-8b45-c04f7e485b48,2021-07-18 10:00:00,,391,1051,329,209,339,562,307,179,214,295,111,93,121,63,151,238,70,63,60,36,104,116,18,75,61,1081,0,0,45,30,7,8,1,2,4,3,5,1,0,3,,9508,19276,7968,5493,7604,11992,6048,6288,3907,5535,6997,14284,4126,2954,3593,8343,2862,3955,2070,4269,2115,4099,3585,2401,3831,3331,2966,2235,1796,1185,396,893,257,138,180,318,220,98,41,81,yes,,2021-07-18 21:07:49.898000002,surveyor_jr,2021-07-18 21:07:49.898000002,surveyor_jr,"{'x': 29.8382715, 'y': -19.5175514, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
9,10,682e88f5-a61f-4d6e-8969-cf8e6226619a,2021-07-19 10:00:00,,541,3243,558,36,646,796,499,567,341,358,200,252,175,239,330,250,140,184,214,129,158,0,244,146,0,88,857,563,30,175,13,8,13,8,8,14,5,0,4,2,,9708,19528,8143,5732,7934,12242,6188,6472,4121,5664,7155,14284,4370,3100,3593,8431,3719,4518,2100,4444,2144,4343,3503,2486,4153,3479,2244,1856,1976,1137,409,901,270,146,188,332,225,98,45,83,yes,,2021-07-20 07:02:42.492000103,surveyor_jr,2021-07-20 07:02:42.492000103,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
10,11,291645d0-9b92-47fb-84e2-e84c70919cff,2021-07-20 10:00:00,,444,3574,112,627,1597,2099,871,422,972,536,262,373,325,244,351,397,103,257,213,158,122,833,55,247,540,22,340,0,148,134,9,14,2,3,2,4,10,2,3,1,,9970,19901,8468,5976,8285,12639,6291,6729,4334,5822,7277,15117,4425,3347,4133,8453,4059,4518,2248,4578,2275,3869,3771,2480,3962,3850,1997,2111,2038,1160,418,915,272,149,190,336,235,100,48,84,no,Masvingo,2021-07-21 06:34:18.713000059,surveyor_jr,2021-07-21 06:34:18.713000059,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
11,12,427a5b54-5561-423d-8155-5e2c3b1446de,2021-07-21 10:00:00,,900,3759,994,679,853,905,769,828,1447,1502,156,689,287,204,323,295,188,157,199,207,203,278,60,83,40,436,194,0,110,68,12,11,0,5,8,8,13,0,3,2,,10072,20590,8755,6180,8608,12934,6479,6886,4533,6029,7480,15395,4485,3430,4173,8889,4253,4518,2358,4646,2216,4269,3998,2596,4237,3701,1978,2268,2124,1297,430,926,272,154,198,344,248,100,51,86,yes,,2021-07-22 05:26:17.348999977,surveyor_jr,2021-07-22 05:26:17.348999977,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
12,13,e6f666b9-3eb8-4239-8209-01d49bfd572e,2021-07-22 10:00:00,,944,3977,779,737,1256,2968,939,479,1483,1425,129,583,225,185,340,292,91,203,156,97,225,307,37,139,945,0,0,313,130,0,6,10,22,4,11,3,4,0,0,1,,10255,21173,8980,6365,8948,13226,6570,7089,4689,6126,7705,15702,4522,3569,5118,8889,4253,4831,2488,4646,2114,4535,4164,2638,3621,3990,2065,2158,2150,1393,436,936,294,158,209,347,252,100,51,87,yes,,2021-07-22 21:21:07.694999933,surveyor_jr,2021-07-22 21:21:07.694999933,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
13,14,147974e1-59ce-4cd2-820b-193f6c6f03cf,2021-07-23 10:00:00,,227,2895,919,698,1345,1950,802,326,1198,1504,179,590,206,125,281,268,127,154,126,209,160,342,0,150,0,41,67,278,100,125,17,38,7,4,6,4,10,3,1,1,,10434,21763,9186,6490,9229,13494,6697,7243,4815,6335,7865,16044,4522,3719,5118,8930,4320,5109,2588,4771,2116,4745,4363,2609,3896,4213,2115,2031,2175,1476,453,974,301,162,215,351,262,103,52,88,yes,,2021-07-23 20:39:14.697999954,surveyor_jr,2021-07-23 20:39:14.697999954,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
14,15,7d664b0b-a470-4793-8313-8654267804e2,2021-07-24 10:00:00,,367,2515,767,883,1494,1435,440,333,892,1305,138,277,276,72,275,196,128,77,71,81,112,288,0,127,255,380,87,0,93,300,9,29,7,7,7,10,11,3,1,5,,10572,22040,9462,6562,9504,13690,6825,7320,4886,6416,7977,16332,4522,3846,5373,9310,4407,5109,2681,5071,2133,4705,4632,2547,3909,4019,2145,2105,2152,1252,462,1003,308,169,222,361,273,106,53,93,yes,,2021-07-25 11:07:37.621999979,surveyor_jr,2021-07-25 11:07:37.621999979,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
15,16,dfc9894d-8522-4f23-8cde-932ceb309397,2021-07-25 10:00:00,,405,1991,87,87,600,613,340,278,371,209,59,156,43,37,68,78,36,42,78,20,112,356,74,60,233,8,0,348,64,30,9,5,3,4,6,3,8,1,2,3,,10631,22196,9505,6599,9572,13768,6861,7362,4964,6436,8089,16688,4596,3906,5606,9318,4407,5457,2745,5101,2071,4500,4598,2520,3738,4086,2173,1798,2164,1239,471,1008,311,173,228,364,281,107,55,96,no,"Midlands,Masvingo",2021-07-26 06:31:23.075999975,surveyor_jr,2021-07-26 06:31:23.075999975,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
16,17,a05f1bab-8155-4066-8d31-f17886544734,2021-07-26 10:00:00,,882,5264,565,141,384,505,267,283,172,223,99,497,208,109,312,186,136,141,128,234,219,431,0,185,88,716,43,0,134,98,12,12,7,3,13,13,10,0,1,8,,10730,22693,9713,6708,9884,13954,6997,7503,5092,6670,8308,17119,4596,4091,5694,10034,4450,5457,2879,5199,1939,4554,4799,2441,3949,3543,2256,1939,2157,1367,483,1020,318,176,241,377,291,107,56,104,yes,,2021-07-27 13:58:37.401000023,surveyor_jr,2021-07-27 13:58:37.401000023,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
17,18,c59ae268-8e4a-43ac-8d01-3fcd721368a2,2021-07-27 10:00:00,,795,3977,480,255,535,1710,896,807,1576,1676,120,438,158,109,284,200,95,159,135,69,120,372,1318,130,353,136,0,0,201,39,7,54,5,5,9,14,7,3,1,2,,10850,23131,9817,6817,10168,14154,7092,7662,5227,6739,8428,17491,5914,4221,6047,10170,4450,5457,3080,5238,1932,4566,3634,2415,3871,3593,2344,2095,2090,1395,490,1074,323,181,250,391,298,110,57,106,yes,,2021-07-28 20:29:06.322999954,surveyor_jr,2021-07-28 20:29:06.322999954,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
18,19,ccb22533-3f66-48eb-81e0-12a475a211d6,2021-07-29 10:00:00,,557,5500,708,511,1194,2290,790,1439,1488,740,146,235,292,147,298,208,338,206,135,84,177,449,174,287,272,61,312,218,22,39,17,28,7,0,9,3,10,4,1,2,,11090,23839,10396,7085,10677,14606,7535,7991,5498,6939,8963,17940,6117,4669,6352,10285,4826,5675,3252,5315,1606,4782,3945,2232,4061,3922,2394,2199,2187,1513,521,1117,334,184,264,399,315,117,59,111,yes,,2021-07-30 06:49:47.461999893,surveyor_jr,2021-07-30 06:49:47.461999893,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
19,20,11b812a6-c33e-4590-8d5e-ff1fa9e9a46f,2021-07-28 10:00:00,,879,2702,1228,485,1194,1398,694,348,1086,794,94,473,233,121,211,244,105,123,136,116,358,0,29,161,33,54,64,0,150,38,14,15,4,3,5,5,7,3,1,3,,10944,23604,10104,6938,10379,14398,7197,7785,5363,6855,8786,17491,5943,4382,6080,10224,4514,5457,3230,5276,1654,5024,3834,2372,4044,3778,2378,2215,2075,1470,504,1089,327,184,255,396,305,113,58,109,yes,,2021-07-30 17:49:14.174000025,surveyor_jr,2021-07-30 17:49:14.174000025,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
20,21,1a6bb902-8452-47dd-8d32-cc8610178a92,2021-07-30 10:00:00,,700,3651,550,206,1715,1504,704,679,936,1252,102,445,243,127,198,106,261,134,130,88,138,119,42,273,157,48,245,0,100,46,17,12,4,1,10,4,10,1,5,5,,11192,24284,10639,7212,10875,14712,7796,8125,5628,7027,9101,18059,6159,4942,6509,10333,5071,5675,3352,5361,1553,5096,4142,2085,4095,3976,2400,2332,2212,1550,538,1129,338,185,274,403,325,118,64,116,yes,,2021-07-30 22:04:05.648000002,surveyor_jr,2021-07-30 22:04:05.648000002,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
21,22,dbd249dc-5322-4192-8de6-dacae7f280b2,2021-07-31 10:00:00,,439,1455,490,288,785,770,286,236,471,264,64,166,157,48,158,106,528,46,53,44,150,164,243,79,255,64,0,0,280,59,5,8,6,1,2,5,9,3,0,3,,11256,24450,10796,7260,11033,14818,8324,8171,5681,7071,9251,18223,6402,5021,6764,10397,5071,5675,3632,5420,1462,5090,4050,2053,3993,4013,2919,2375,1985,1532,543,1137,344,186,276,408,334,121,64,119,yes,,2021-07-31 23:34:27.611999989,surveyor_jr,2021-07-31 23:34:27.611999989,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
22,23,23a4e9c3-3e1e-443f-8a72-354f2ac4315d,2021-08-01 10:00:00,,364,1341,177,105,2,310,225,223,197,179,61,107,70,32,62,86,172,27,34,35,111,26,0,69,0,45,370,78,79,31,8,16,7,4,3,4,5,2,1,1,,11317,24557,10866,7292,11095,14904,8496,8198,5715,7106,9362,18249,6402,5090,6764,10442,5441,5753,3711,5451,1404,5155,4113,2012,4052,4050,2716,2322,1939,1535,551,1153,351,190,279,412,339,123,65,120,yes,,2021-08-02 10:05:03.095999956,surveyor_jr,2021-08-02 10:05:03.095999956,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
23,24,7593955c-e369-4764-894b-cb3e1c346d5d,2021-08-02 10:00:00,,701,2850,397,0,86,508,285,268,91,100,142,153,189,66,221,109,134,141,125,29,200,77,0,97,437,1098,87,581,152,26,4,22,7,2,4,3,5,4,1,0,,11459,24710,11055,7358,11316,15013,8630,8339,5840,7135,9562,18326,6402,5187,7201,11540,5528,6334,3863,5477,1342,5209,4295,1979,3832,3058,2758,1878,1911,1538,555,1175,358,192,283,415,344,127,66,120,yes,,2021-08-04 17:17:20.470000029,surveyor_jr,2021-08-04 17:17:20.470000029,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
24,25,e6bf7840-1e45-4061-82ce-ff74b8b32dc8,2021-08-03 10:00:00,,1282,3295,679,594,1092,1561,414,406,641,1038,190,335,156,75,192,187,153,90,113,89,262,479,198,0,405,147,72,0,568,19,10,2,2,3,2,5,3,9,4,1,,11649,25045,11211,7433,11508,15200,8783,8429,5953,7224,9824,18805,6600,5187,7606,11687,5600,6334,4431,5496,1260,5063,4251,2051,3617,3093,2836,1959,1452,1607,565,1177,360,195,285,420,347,136,70,121,yes,,2021-08-04 17:27:26.967000008,surveyor_jr,2021-08-04 17:27:26.967000008,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
25,26,7d5a651a-ab3d-47b8-8e2b-d050be091dd6,2021-08-04 10:00:00,,693,2583,370,456,1119,1330,397,343,1232,356,112,170,94,40,188,104,80,67,125,111,156,606,403,109,3,59,0,0,69,19,10,4,6,1,1,4,6,0,0,3,,11761,25215,11305,7473,11696,15304,8863,8496,6078,7335,9980,19411,7003,5296,7609,11746,5600,6334,4500,5515,1206,4623,3936,1981,3801,3134,2910,2026,1508,1696,575,1181,366,196,286,424,353,136,70,124,yes,,2021-08-05 12:14:37.796000004,surveyor_jr,2021-08-05 12:14:37.796000004,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
26,27,3a3a49c8-9a4c-428d-8a98-fbd5c2fb1024,2021-08-05 10:00:00,,472,1872,376,58,956,819,214,156,1185,261,78,199,104,75,97,64,76,83,86,101,129,581,567,271,0,41,34,197,27,48,13,1,2,0,4,5,10,4,1,3,,11839,25414,11409,7548,11793,15368,8939,8579,6164,7436,10109,19992,7570,5567,7609,11787,5634,6531,4527,5563,1142,4240,3471,1785,3894,3152,2942,1908,1566,1746,588,1182,368,196,290,429,363,140,71,127,no,Midlands,2021-08-06 19:41:49.191999912,surveyor_jr,2021-08-06 19:41:49.191999912,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
27,28,0f8388be-f229-4da4-8d3e-05a12b1083e8,2021-08-06 10:00:00,,685,3306,638,294,557,1583,388,289,885,270,123,140,109,40,122,86,54,84,99,99,179,550,95,10,241,136,0,269,119,38,7,20,3,1,5,6,2,5,1,1,,11962,25554,11518,7588,11915,15454,8993,8663,6263,7535,10288,20542,7665,5577,7850,11923,5634,6800,4646,5601,1079,3810,3482,1814,3770,3096,2994,1718,1545,1806,595,1202,371,197,295,435,365,145,72,128,yes,,2021-08-06 22:25:45.048000097,surveyor_jr,2021-08-06 22:25:45.048000097,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
28,29,fb276b6c-ad23-462d-83bf-974b436ed63b,2021-08-07 10:00:00,,445,2215,552,244,182,1188,123,286,636,130,32,0,85,21,80,43,29,51,36,68,102,0,44,0,170,100,174,0,50,250,8,0,3,0,2,1,2,4,1,0,,11994,25554,11603,7609,11995,15497,9022,8714,6299,7603,10390,20542,7709,5577,8020,12023,5808,6800,4696,5851,1001,3810,3520,1835,3678,3038,2847,1765,1530,1624,603,1202,374,197,297,436,367,149,73,128,yes,,2021-08-07 21:12:34.423000097,surveyor_jr,2021-08-07 21:12:34.423000097,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
29,30,8d15786e-2239-4b80-8227-ad3a10b56e01,2021-08-08 10:00:00,,498,1758,271,67,65,538,507,153,1205,153,33,172,45,10,45,22,34,30,32,14,64,433,66,234,0,110,211,0,45,250,8,51,3,0,3,3,3,1,2,0,,12027,25726,11648,7619,12040,15519,9056,8744,6331,7617,1045,20975,7775,5811,8020,12133,6019,6800,4741,6101,962,3498,3496,1611,3620,2497,2667,1794,1515,1388,611,1253,377,197,300,439,370,150,75,128,no,Masvingo,2021-08-10 14:14:16.115000010,surveyor_jr,2021-08-10 14:14:16.115000010,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
30,31,51f7bc5f-5bd1-46df-847e-f4fc96040773,2021-08-09 10:00:00,,896,1051,199,49,221,167,87,487,206,6,49,68,48,14,85,76,22,46,98,20,99,413,40,16,0,193,170,0,150,300,5,3,0,2,2,1,3,2,1,0,,12076,25794,11696,7633,12125,15595,9078,8790,6429,7637,10553,21388,7815,5827,8020,12326,6189,6800,4891,6401,901,3150,3504,1607,3803,2829,2516,1838,1462,1108,616,1256,377,199,302,440,373,152,76,128,no,MatSouth,2021-08-10 14:20:02.742000103,surveyor_jr,2021-08-10 14:20:02.742000103,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
31,32,ce78e597-213b-487f-85a6-d1958e629f15,2021-08-10 10:00:00,,290,925,100,26,204,250,118,113,599,6,53,55,46,25,83,14,23,34,39,33,0,339,68,219,173,29,0,159,163,139,10,6,1,0,0,4,4,2,2,2,,12129,25849,11742,7658,12208,15609,9101,8824,6468,7670,10553,21727,7883,6046,8193,12355,6189,6959,5054,6540,950,2860,3481,1413,3713,2810,2535,1711,1336,1000,626,1262,378,199,302,444,377,154,78,130,no,MatSouth,2021-08-11 20:53:28.263999939,surveyor_jr,2021-08-11 20:53:28.263999939,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
32,33,674df0b5-7cf1-4394-8fbc-1488008bfa47,2021-08-11 10:00:00,,617,3188,956,0,695,0,371,430,555,0,43,149,131,49,83,56,52,44,61,28,85,327,863,197,0,97,115,161,102,56,6,18,2,3,0,7,1,0,2,0,,12172,25998,11873,7707,12291,15665,9153,8868,6529,7698,10638,22054,8746,6243,8193,12452,6304,7120,5156,6596,902,2664,2747,1262,3796,2762,2471,1594,1293,970,632,1280,380,202,302,451,378,154,80,132,yes,,2021-08-12 20:16:43.687999964,surveyor_jr,2021-08-12 20:16:43.687999964,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
33,34,2749ba4e-767e-4470-8379-d90491754e68,2021-08-13 10:00:00,,292,1541,759,193,319,873,298,546,771,1434,64,124,83,34,104,37,44,61,73,130,102,471,161,33,119,84,122,0,62,56,5,9,2,2,5,1,0,1,0,1,,12349,26223,12041,7804,12519,15763,9239,8965,6728,7877,10887,22786,8913,6417,8754,12639,6563,7120,5383,6674,822,2118,2737,1182,3456,2671,2294,1689,1263,1068,641,1319,391,205,309,453,382,156,82,135,yes,,2021-08-13 22:12:45.809000015,surveyor_jr,2021-08-13 22:12:45.809000015,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
34,35,d69f7928-5759-478d-8ba8-5ef4ef3aea87,2021-08-12 10:00:00,,497,2588,414,245,350,1002,326,381,1513,735,113,101,85,63,124,61,42,36,126,49,146,261,6,141,442,103,137,0,165,22,4,30,9,1,2,1,4,1,2,2,,12285,26099,11958,7770,12415,15726,9195,8904,6655,7747,10785,22315,8752,6384,8635,12255,6441,7120,5321,6618,865,2474,2817,1183,3476,2719,2372,1629,1252,995,636,1310,389,203,304,452,382,155,82,134,yes,,2021-08-13 22:18:51.710000038,surveyor_jr,2021-08-13 22:18:51.710000038,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
35,36,4a93a182-9f51-479a-8aae-11b20570ce88,2021-08-14 10:00:00,,954,897,161,147,254,655,158,317,615,346,34,68,33,15,51,21,9,45,40,29,64,156,28,185,73,0,0,0,54,21,1,10,0,1,0,3,1,0,1,0,,12383,26291,12074,7819,12570,15784,9248,9010,6768,7906,10950,22942,8941,6602,8827,12639,6563,7120,5437,6695,791,2020,2742,1011,3434,2689,2302,1734,1248,1076,642,1329,391,206,309,456,383,156,83,135,yes,,2021-08-15 18:21:09.204999924,surveyor_jr,2021-08-15 18:21:09.204999924,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
36,37,85305b24-7db9-44e5-846b-19199ce9a32a,2021-08-15 10:00:00,,709,1356,337,97,153,377,134,217,94,259,15,44,40,5,39,20,6,17,18,31,61,102,49,20,0,83,0,0,264,28,4,6,3,0,1,0,0,2,2,1,,12398,26335,12114,7824,12609,15804,9254,9027,6786,7937,11011,23044,8990,6622,8827,12722,6563,7120,5701,6723,741,1956,2730,996,3472,2626,2308,1749,1000,1078,646,1335,394,206,310,456,383,158,85,136,no,MatSouth,2021-08-16 19:38:16.276999950,surveyor_jr,2021-08-16 19:38:16.276999950,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
37,38,308ac32f-6c55-4a95-8fe9-cd26880c1457,2021-08-17 10:00:00,,582,3657,204,337,577,152,0,441,562,782,27,92,74,29,81,23,19,46,51,2,142,172,123,47,327,67,0,215,66,69,7,11,0,5,1,2,1,1,1,0,,12425,26427,12188,7853,12690,15827,9273,9073,6837,7939,11153,23216,9113,6669,9154,12789,6563,7335,5767,6792,619,1865,2681,973,3225,2580,2326,1579,984,1011,653,1346,394,211,311,458,384,159,86,136,yes,,2021-08-17 22:34:45.749000072,surveyor_jr,2021-08-17 22:34:45.749000072,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
